,prompts
0,"A 25-year-old South Asian man with a clean fade haircut, slight stubble, and wearing a black t-shirt, photographed in soft daylight."
1,"A middle-aged African woman with natural afro-textured hair, subtle makeup, and a calm expression, wearing a patterned blouse."
2,"An elderly Caucasian man with deep wrinkles, blue eyes, and a bald head, smiling gently against a neutral studio background."
3,"A young Latina woman with long, straight dark brown hair, hoop earrings, and a confident gaze, urban background slightly blurred."
4,"A teenage boy with East Asian features, messy black hair, and wearing a hoodie, looking directly into the camera with a curious expression."
5,"A realistic headshot of a Middle Eastern woman wearing a beige hijab and minimal makeup, with soft shadows on her face."
6,"A baby with light skin, big round eyes, and chubby cheeks, smiling and sitting on a white blanket."
7,"A 40-year-old man with a shaved head, a strong jawline, and wearing a suit jacket, business portrait with a shallow depth of field."
8,"A young woman with vitiligo, short curly hair, and a confident expression, photographed in natural outdoor lighting."
9,"A realistic passport-style photo of a man in his 30s with short dark hair, light stubble, and neutral expression, plain white background."
10,"A senior Indian woman with white hair tied in a bun, wearing a traditional sari, and smiling gently in a sunlit garden."
11,"A young Black man with dreadlocks, wearing a red hoodie, and standing in front of a brick wall, looking serious."
12,"A middle-aged East Asian man with rectangular glasses and a gentle smile, seated at a wooden desk in warm lighting."
13,"A 20-something Hispanic man with a goatee and short hair, wearing a denim jacket, captured at golden hour."
14,"A mature white woman with curly gray hair and a confident pose, wearing a navy blazer in front of a bookcase."
15,"A toddler with medium skin tone, curly hair, and a playful expression, crawling on a wooden floor."
16,"A teenage girl with pale skin, straight red hair, and freckles, gazing pensively out of a window."
17,"A woman in her 30s with dark eyes and a pixie cut, wearing a scarf and coat in an outdoor cityscape."
18,"A professional headshot of a Southeast Asian man in his 40s, with a bright smile and a blue dress shirt."
19,"A young woman with light brown skin, braided hair, and wearing a sports jersey, standing under stadium lights."
20,"A man with sharp features, olive skin, and styled hair, wearing a leather jacket in a dramatic low-light setup."
21,"An elderly Latina woman with deep laugh lines, wearing a shawl and sitting in a rustic home."
22,"A newborn baby with pink skin and closed eyes, swaddled in a white blanket under soft lighting."
23,"A bearded man in his 30s with glasses and a beanie, standing outdoors with a snowy background."
24,"A woman in her 40s with almond-shaped eyes and a soft smile, wearing business attire in front of a city skyline."
25,"A dark-skinned teenage boy with short-cropped hair, wearing a basketball jersey, standing on an outdoor court."
26,"A bald man with light brown skin, a thick beard, and a serious expression, photographed in front of a concrete wall."
27,"A young girl with curly black hair and big eyes, looking curious while sitting at a colorful table."
28,"A middle-aged woman with tan skin and short gray hair, wearing reading glasses and a floral shirt, smiling warmly."
29,"A clean-shaven East Asian man in his late 20s with a stylish haircut, wearing a denim button-up shirt."
30,"A young man with a dark complexion and full lips, wearing headphones and a hoodie, in a studio setting."
31,"A woman with long dark brown hair and bangs, olive skin, wearing a white sweater in soft morning light."
32,"A 50-year-old man with receding hairline, bushy eyebrows, and a tweed jacket, portrait against a brown backdrop."
33,"A girl with shoulder-length light brown hair, fair complexion, and dimples, sitting in a classroom."
34,"A young male with freckles, tan skin, and a buzz cut, wearing a tank top and smiling widely."
35,"A woman in her late 20s with hazel eyes, shoulder-length curls, and natural makeup, in an office environment."
36,"A middle-aged Black man with a clean-shaven head, strong jaw, and glasses, photographed against a light grey background."
37,"An elderly woman with very light skin, wearing pearl earrings and a soft cardigan, sitting in a rocking chair."
38,"A young adult man with pale skin, short spiked blond hair, and blue eyes, looking off-camera."
39,"A chubby-cheeked toddler with dark skin and pigtails, grinning with a missing tooth."
40,"A 35-year-old woman with olive skin, brown eyes, and a ponytail, wearing scrubs in a hospital corridor."
41,"A South Asian boy around 10 years old with short straight hair and glasses, wearing a school uniform."
42,"A slim man in his 20s with high cheekbones, dark brown eyes, and a designer shirt, studio-lit."
